text,timediff,PTAB,PL1,PL2,PL3,PL4,PR1,PR2,PR3,PR4,B1P,B2P,B3P,B4P,B5P,15K,sourceID_encoded,BodyGroup_to_encoded,BodyGroup_from_encoded
"Measurement finished OK. (Protocol: 'COR PD FS', Sequence: '%SiemensSeq%\tse')",0.0,-773850,,,,,,,,,,,,,,,10,10,6
Patient table has started moving. Absolute PTAB Position: -1679900,6.0,-1679900,,,,,,,,,,,,,,,4,10,6
"YAxisUpPossible: 1, YAxisDownPossible: 1, argument values are boolean. ZAxisOutPossible: 0, ZAxisInPossible: 1, argument values are boolean.",16.0,-1679900,,,,,,,,,,,,,,,5,10,6
"Coil change event was handled successfully. (Coil context: 'default'. Coil plug codes: 'ff,230a,0,0,0,0,0,131c,131d,0,0'. Connected coil elements: BC,SP1-8,18K.)",20.0,-1679900,,,,,,,,,,,,,,,1,10,6
"YAxisUpPossible: 1, YAxisDownPossible: 1, argument values are boolean. ZAxisOutPossible: 0, ZAxisInPossible: 0, argument values are boolean.",26.0,-1679900,,,,,,,,,,,,,,,5,10,6
"Coil change event was handled successfully. (Coil context: 'default'. Coil plug codes: 'ff,230a,0,0,0,0,0,131c,131d,0,0'. Connected coil elements: BC,SP1-8,18K.)",27.0,-1679900,,,,,,,,,,,,,,,1,10,6
"Coil change event was handled successfully. (Coil context: 'default'. Coil plug codes: 'ff,0,0,0,0,0,0,131c,131d,0,0'. Connected coil elements: BC,SP1-8.)",30.000000000000004,-1679900,,,,,,,,,,,,,,,1,10,6
"Coil change event was handled successfully. (Coil context: 'default'. Coil plug codes: 'ff,0,0,0,0,13161315,1314,131c,131d,0,0'. Connected coil elements: BC,HE1-4,NE1,2,SP1-8.)",57.0,-1679900,,,,,,,,,,,,,,,1,10,6
"Coil change event was handled successfully. (Coil context: 'default'. Coil plug codes: 'ff,0,0,0,0,1315,1314,131c,131d,0,0'. Connected coil elements: BC,HE2,4,NE2,SP1-8.)",58.00000000000001,-1679900,,,,,,,,,,,,,,,1,10,6
Measurement control information: measurement has been stopped by user. ID: syngo.MR.MRI_MSR_NlsMessageId.Resources.MSRmsg.MRI_MSR_I_34_USER_STOP,100.0,-1679900,,,,,,,,,,,,,,,12,10,6
A patient has been registered successfully (0a7d8bae2b21d7829bc82443d0fb16059ddbff3c).,104.0,-1679900,,,,,,,,,,,,,,,8,10,6
"YAxisUpPossible: 1, YAxisDownPossible: 1, argument values are boolean. ZAxisOutPossible: 0, ZAxisInPossible: 0, argument values are boolean.",148.0,-1679900,,,,,,,,,,,,,,,5,10,6
Patient table has started moving. Absolute PTAB Position: 450,174.0,450,,,,,,,,,,,,,,,4,10,6
"YAxisUpPossible: 1, YAxisDownPossible: 1, argument values are boolean. ZAxisOutPossible: 0, ZAxisInPossible: 0, argument values are boolean.",176.0,450,,,,,,,,,,,,,,,5,10,6
"Coil change event was handled successfully. (Coil context: 'default'. Coil plug codes: 'ff,0,0,0,0,13161315,1314,131c,131d,0,0'. Connected coil elements: BC,HE1-4,NE1,2,SP1-8.)",185.0,450,,,,,,,,,,,,,,,1,10,6
"YAxisUpPossible: 1, YAxisDownPossible: 1, argument values are boolean. ZAxisOutPossible: 0, ZAxisInPossible: 1, argument values are boolean.",186.0,450,,,,,,,,,,,,,,,5,10,6
Patient table has started moving. Absolute PTAB Position: 50,187.0,50,,,,,,,,,,,,,,,4,10,6
"YAxisUpPossible: 0, YAxisDownPossible: 0, argument values are boolean. ZAxisOutPossible: 1, ZAxisInPossible: 1, argument values are boolean.",193.0,50,,,,,,,,,,,,,,,5,10,6
Patient has been positioned,208.0,50,,,,,,,,,,,,,,,7,10,6
Patient table has started moving. Absolute PTAB Position: -353000,208.0,-353000,,,,,,,,,,,,,,,4,10,6
